time,closeAsk,closeBid,highAsk,highBid,lowAsk,lowBid,openAsk,openBid,volume
2002-08-24T21:00:00.000000Z,0.9735,0.9725,0.9735,0.9725,0.9735,0.9725,0.9735,0.9725,1
2002-08-25T21:00:00.000000Z,0.9721,0.9718,0.9721,0.9718,0.9721,0.9718,0.9721,0.9718,1
2002-08-26T21:00:00.000000Z,0.9834,0.9832,0.9834,0.9832,0.9834,0.9832,0.9834,0.9832,1
2002-08-27T21:00:00.000000Z,0.9794,0.9791,0.9794,0.9791,0.9794,0.9791,0.9794,0.9791,1
2002-08-28T21:00:00.000000Z,0.985,0.9847,0.985,0.9847,0.985,0.9847,0.985,0.9847,1
2002-08-29T21:00:00.000000Z,0.9827,0.9817,0.9827,0.9817,0.9827,0.9817,0.9827,0.9817,1
2002-08-31T21:00:00.000000Z,0.9828,0.9818,0.9828,0.9818,0.9828,0.9818,0.9828,0.9818,1
2002-09-01T21:00:00.000000Z,0.9838,0.9836,0.9838,0.9836,0.9838,0.9836,0.9838,0.9836,1
2002-09-02T21:00:00.000000Z,0.9971,0.9968,0.9971,0.9968,0.9971,0.9968,0.9971,0.9968,1
2002-09-03T21:00:00.000000Z,0.993,0.9928,0.993,0.9928,0.993,0.9928,0.993,0.9928,1
2002-09-04T21:00:00.000000Z,0.9917,0.9915,0.9917,0.9915,0.9917,0.9915,0.9917,0.9915,1
2002-09-07T21:00:00.000000Z,0.9821,0.9811,0.9821,0.9811,0.9821,0.9811,0.9821,0.9811,1
2002-09-08T21:00:00.000000Z,0.9797,0.9794,0.9797,0.9794,0.9797,0.9794,0.9797,0.9794,1
2002-09-09T21:00:00.000000Z,0.9757,0.9754,0.9757,0.9754,0.9757,0.9754,0.9757,0.9754,1
2002-09-11T21:00:00.000000Z,0.9821,0.9818,0.9821,0.9818,0.9821,0.9818,0.9821,0.9818,1
2002-09-12T21:00:00.000000Z,0.9722,0.9712,0.9722,0.9712,0.9722,0.9712,0.9722,0.9712,1
2002-09-14T21:00:00.000000Z,0.9713,0.9703,0.9713,0.9703,0.9713,0.9703,0.9713,0.9703,1
2002-09-15T21:00:00.000000Z,0.9693,0.9691,0.9693,0.9691,0.9693,0.9691,0.9693,0.9691,1
2002-09-16T21:00:00.000000Z,0.9748,0.9745,0.9748,0.9745,0.9748,0.9745,0.9748,0.9745,1
