time,closeAsk,closeBid,highAsk,highBid,lowAsk,lowBid,openAsk,openBid,volume
2018-10-05T10:33:00.000000Z,1.14984,1.14971,1.14988,1.14975,1.1496,1.14947,1.14973,1.1496,242
2018-10-05T10:36:00.000000Z,1.14979,1.14967,1.14991,1.14978,1.14971,1.14958,1.14985,1.14972,204
2018-10-05T10:39:00.000000Z,1.14989,1.14977,1.15,1.14987,1.14978,1.14965,1.14979,1.14966,345
2018-10-05T10:42:00.000000Z,1.14987,1.14976,1.14996,1.14982,1.14974,1.14961,1.14989,1.14976,294
2018-10-05T10:45:00.000000Z,1.15018,1.15007,1.15024,1.15011,1.14978,1.14965,1.14986,1.14974,353
2018-10-05T10:48:00.000000Z,1.15014,1.15002,1.15026,1.15012,1.14997,1.14983,1.15022,1.1501,455
2018-10-05T10:51:00.000000Z,1.15048,1.15035,1.15064,1.1505,1.15015,1.15003,1.15015,1.15003,323
2018-10-05T10:54:00.000000Z,1.15018,1.15005,1.15053,1.1504,1.15003,1.1499,1.15046,1.15033,357
2018-10-05T10:57:00.000000Z,1.14983,1.1497,1.15021,1.15008,1.1498,1.14965,1.15019,1.15006,372
2018-10-05T11:00:00.000000Z,1.14996,1.14984,1.15023,1.15011,1.14978,1.14965,1.14985,1.14972,486
2018-10-05T11:03:00.000000Z,1.14993,1.14982,1.15009,1.14996,1.14993,1.1498,1.14996,1.14982,257
2018-10-05T11:06:00.000000Z,1.14995,1.14983,1.15009,1.14996,1.1499,1.14978,1.14994,1.14981,277
2018-10-05T11:09:00.000000Z,1.15042,1.15029,1.15042,1.1503,1.14995,1.14983,1.14996,1.14984,289
2018-10-05T11:12:00.000000Z,1.15028,1.15015,1.1505,1.15036,1.15003,1.1499,1.15041,1.15029,433
2018-10-05T11:15:00.000000Z,1.15041,1.15029,1.15047,1.15035,1.15019,1.15007,1.15026,1.15014,267
2018-10-05T11:18:00.000000Z,1.15037,1.15025,1.15058,1.15046,1.15037,1.15024,1.15038,1.15025,232
2018-10-05T11:21:00.000000Z,1.15049,1.15036,1.15054,1.15042,1.15031,1.15019,1.15038,1.15026,255
2018-10-05T11:24:00.000000Z,1.15074,1.15061,1.15077,1.15064,1.15044,1.15032,1.15051,1.15038,209
2018-10-05T11:27:00.000000Z,1.15061,1.15049,1.15084,1.15071,1.15058,1.15043,1.15072,1.15061,266
2018-10-05T11:30:00.000000Z,1.15069,1.15057,1.15075,1.15062,1.15056,1.15044,1.15061,1.15048,272
