time,closeAsk,closeBid,highAsk,highBid,lowAsk,lowBid,openAsk,openBid,volume
2018-10-18T23:00:00.000000Z,1.14563,1.14547,1.14567,1.14551,1.14561,1.14544,1.14563,1.14545,10
2018-10-18T23:00:15.000000Z,1.14562,1.14544,1.14563,1.14546,1.14562,1.14544,1.14563,1.14546,2
2018-10-18T23:00:30.000000Z,1.14562,1.14546,1.14565,1.14547,1.14561,1.14543,1.14562,1.14545,8
2018-10-18T23:01:00.000000Z,1.14564,1.14547,1.14567,1.1455,1.14564,1.14547,1.14567,1.1455,2
2018-10-18T23:01:15.000000Z,1.14563,1.14545,1.14563,1.14545,1.14563,1.14545,1.14563,1.14545,1
2018-10-18T23:02:15.000000Z,1.14566,1.14547,1.14571,1.14552,1.14566,1.14547,1.14568,1.1455,4
2018-10-18T23:02:30.000000Z,1.14567,1.1455,1.1457,1.14552,1.14567,1.1455,1.1457,1.14552,5
2018-10-18T23:03:30.000000Z,1.14567,1.14549,1.14567,1.14549,1.14567,1.14549,1.14567,1.14549,1
2018-10-18T23:04:00.000000Z,1.14561,1.14544,1.14568,1.1455,1.14561,1.14544,1.14567,1.1455,19
2018-10-18T23:04:15.000000Z,1.14562,1.14544,1.14562,1.14544,1.14562,1.14543,1.14562,1.14543,2
2018-10-18T23:04:30.000000Z,1.14562,1.14544,1.14564,1.14546,1.14562,1.14544,1.14564,1.14546,3
2018-10-18T23:04:45.000000Z,1.14564,1.14545,1.14564,1.14545,1.14561,1.14545,1.14561,1.14545,3
2018-10-18T23:05:00.000000Z,1.14559,1.14542,1.14563,1.14545,1.14559,1.14542,1.14563,1.14545,2
2018-10-18T23:05:15.000000Z,1.1456,1.14542,1.14562,1.14543,1.1456,1.14542,1.14562,1.14543,2
2018-10-18T23:06:30.000000Z,1.14563,1.14545,1.14563,1.14545,1.14561,1.14544,1.14561,1.14544,2
2018-10-18T23:07:00.000000Z,1.14564,1.14547,1.14564,1.14547,1.14564,1.14547,1.14564,1.14547,1
2018-10-18T23:08:30.000000Z,1.14567,1.1455,1.14568,1.1455,1.14563,1.14546,1.14567,1.14549,12
2018-10-18T23:08:45.000000Z,1.14568,1.1455,1.14568,1.1455,1.14568,1.1455,1.14568,1.1455,1
2018-10-18T23:09:00.000000Z,1.14567,1.1455,1.14567,1.1455,1.14563,1.14546,1.14563,1.14546,3
2018-10-18T23:09:45.000000Z,1.14569,1.14552,1.14569,1.14552,1.14569,1.14552,1.14569,1.14552,1
2018-10-18T23:10:45.000000Z,1.1457,1.14554,1.1457,1.14554,1.1457,1.14554,1.1457,1.14554,1
2018-10-18T23:11:00.000000Z,1.14572,1.14555,1.14572,1.14555,1.14572,1.14555,1.14572,1.14555,1
2018-10-18T23:11:15.000000Z,1.14574,1.14557,1.14574,1.14557,1.14574,1.14557,1.14574,1.14557,1
2018-10-18T23:11:30.000000Z,1.14573,1.14555,1.14573,1.14555,1.14573,1.14555,1.14573,1.14555,1
2018-10-18T23:12:00.000000Z,1.14582,1.14566,1.14582,1.14566,1.14574,1.14557,1.14574,1.14557,10
2018-10-18T23:12:15.000000Z,1.14579,1.14565,1.14588,1.14573,1.14579,1.14565,1.14584,1.14568,11
2018-10-18T23:12:30.000000Z,1.14575,1.14559,1.1458,1.14564,1.14574,1.14559,1.1458,1.14564,7
2018-10-18T23:12:45.000000Z,1.14583,1.14567,1.14583,1.14567,1.14574,1.14558,1.14574,1.1456,9
2018-10-18T23:13:00.000000Z,1.14583,1.14567,1.14583,1.14567,1.14582,1.14565,1.14582,1.14565,2
2018-10-18T23:13:15.000000Z,1.14582,1.14565,1.14582,1.14565,1.14582,1.14565,1.14582,1.14565,1
2018-10-18T23:13:30.000000Z,1.14579,1.14562,1.14581,1.14563,1.14579,1.14562,1.14581,1.14563,2
2018-10-18T23:14:00.000000Z,1.14578,1.14561,1.14578,1.14561,1.14574,1.14557,1.14574,1.14558,3
2018-10-18T23:15:15.000000Z,1.14574,1.14557,1.14574,1.14557,1.14574,1.14556,1.14574,1.14556,2
2018-10-18T23:15:30.000000Z,1.14574,1.14558,1.14574,1.14558,1.14574,1.14558,1.14574,1.14558,1
2018-10-18T23:16:00.000000Z,1.14574,1.14558,1.14574,1.14558,1.1457,1.14554,1.14574,1.14557,5
2018-10-18T23:16:30.000000Z,1.14564,1.14547,1.14573,1.14556,1.14564,1.14547,1.14573,1.14556,6
2018-10-18T23:17:00.000000Z,1.14566,1.14548,1.14566,1.14548,1.14566,1.14548,1.14566,1.14548,1
2018-10-18T23:17:15.000000Z,1.1456,1.14545,1.14564,1.14547,1.1456,1.14544,1.14564,1.14547,4
2018-10-18T23:17:45.000000Z,1.1456,1.14545,1.1456,1.14545,1.14557,1.1454,1.1456,1.14543,7
